run_id,ts,sim_version,trace,model_profile,device,segment,first_request,requests,accesses,gpu_blocks,cpu_gib,ssd_gib,lookup,prefetch,drop_cost_rule,workload,decode,window_accesses,features_run,train_run,policy,total_ms,prefill_ms,decode_ms,gpu_hits,cpu_hits,ssd_hits,recompute,cpu_writes,ssd_writes,ssd_write_mibps,write_feasible,device_write_mibps,best_baseline,vs_best_baseline_pct,oracle_headroom_pct,headroom_captured_pct
20260905-144050-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:50.583635+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,diag_true_ordering,1554736.24,1554736.24,0.0,175697,90690,12141,89092,144249,56030,,,2512.0,tier_fs,18.813,18.813,100.0
20260905-144050-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:50.583650+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,diag_true_both,2059843.93,2059843.93,0.0,175697,61871,0,130052,61871,0,,,2512.0,tier_fs,-7.564,18.813,-40.21
20260905-144050-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:50.583665+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,oracle,1554736.24,1554736.24,0.0,175697,90690,12141,89092,98882,12141,,,2512.0,tier_fs,18.813,18.813,
20260905-144057-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:57.941992+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,block,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,full_gpu,3925649.23,3925649.23,0.0,114688,0,0,252932,0,0,,,2512.0,tier_fs,-104.995,18.813,-558.11
20260905-144057-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:57.942066+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,block,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,cpu_lru,2433004.99,2433004.99,0.0,114688,98304,0,154628,235815,0,,,2512.0,tier_fs,-27.05,18.813,-143.79
20260905-144057-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:57.942090+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,block,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,cpu_arc,2557392.01,2557392.01,0.0,106903,97897,0,162820,239260,0,,,2512.0,tier_fs,-33.546,18.813,-178.31
20260905-144057-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:57.942108+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,block,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,tier_fs,1914996.27,1914996.27,0.0,114688,98304,65536,89092,235815,109425,,,2512.0,tier_fs,0.0,18.813,0.0
20260905-144057-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:57.942126+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,block,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,tiara_sym_l2_blockcost,1817971.21,1817971.21,0.0,146406,106187,4438,110589,134784,55019,,,2512.0,tier_fs,5.067,18.813,26.93
20260905-144057-m5p-policy-toolagent-qwen-awq,2026-09-05T14:40:57.942142+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,block,longctx-zipf,0,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,oracle,1554736.24,1554736.24,0.0,175697,90690,12141,89092,98882,12141,,,2512.0,tier_fs,18.813,18.813,
20260905-144106-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:06.637560+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143045-m5p-feat-lc128kz-qwen-awq,20260905-143633-m5p-train-lc128kz-qwen-awq,full_gpu,3925649.23,3925649.23,0.0,114688,0,0,252932,0,0,,,2512.0,tier_fs,-104.995,18.813,-558.11
