ts,sim_version,trace,ssd_gib,ssd_blocks,ssd_covers_working_set_pct,working_set_tib,device_total_tib,fs_root,device_free_gib,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,evict_free,evict_to_cpu,evict_to_ssd,ssd_writes,cpu_writes,trace_duration_s,ssd_write_mibps,device_write_mibps_sustained,best_baseline,oracle_headroom_pct,verdict,model_profile,gpu_budget_tokens,cpu_budget_gib,unique_blocks,lookup,prefetch,oracle_dest,device,cost_model
2026-08-31T17:22:33.778208+08:00,ef1fc3a6,toolagent,512.0,262144,4.8,10.41,3.58,/home/hungwei,432.9,full_gpu,63406541.2,3871993,0,0,8822738,,,,0,0,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:22:33.778333+08:00,ef1fc3a6,toolagent,512.0,262144,4.8,10.41,3.58,/home/hungwei,432.9,cpu_lru,60911564.84,3871993,555118,0,8267620,,,,0,8819730,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:22:33.778364+08:00,ef1fc3a6,toolagent,512.0,262144,4.8,10.41,3.58,/home/hungwei,432.9,cpu_arc,60650773.58,4464000,3559,0,8227172,,,,0,8227723,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:22:33.778390+08:00,ef1fc3a6,toolagent,512.0,262144,4.8,10.41,3.58,/home/hungwei,432.9,tier_fs,57796407.56,3871993,555118,1456473,6811147,,,,8252324,8819730,3537.0,4666.3,2512.0,tier_fs,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:22:33.778412+08:00,ef1fc3a6,toolagent,512.0,262144,4.8,10.41,3.58,/home/hungwei,432.9,oracle,51145681.0,4651616,615659,1970274,5457182,5454174,615659,1970274,1970274,1367975,3537.0,1114.1,2512.0,tier_fs,11.507,MARGINAL,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:25:14.258506+08:00,ef1fc3a6,toolagent,2048.0,1048576,19.21,10.41,3.58,/home/hungwei,432.9,full_gpu,63406541.2,3871993,0,0,8822738,,,,0,0,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:25:14.258641+08:00,ef1fc3a6,toolagent,2048.0,1048576,19.21,10.41,3.58,/home/hungwei,432.9,cpu_lru,60911564.84,3871993,555118,0,8267620,,,,0,8819730,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:25:14.258673+08:00,ef1fc3a6,toolagent,2048.0,1048576,19.21,10.41,3.58,/home/hungwei,432.9,cpu_arc,60650773.58,4464000,3559,0,8227172,,,,0,8227723,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:25:14.258700+08:00,ef1fc3a6,toolagent,2048.0,1048576,19.21,10.41,3.58,/home/hungwei,432.9,tier_fs,55453183.82,3871993,555118,2736312,5531308,,,,8252324,8819730,3537.0,4666.3,2512.0,tier_fs,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:25:14.258750+08:00,ef1fc3a6,toolagent,2048.0,1048576,19.21,10.41,3.58,/home/hungwei,432.9,oracle,51145681.0,4651616,615659,1970274,5457182,5454174,615659,1970274,1970274,1367975,3537.0,1114.1,2512.0,tier_fs,7.768,MARGINAL,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:27:54.423910+08:00,ef1fc3a6,toolagent,unlimited,1000000000,100.0,10.41,3.58,/home/hungwei,432.9,full_gpu,63406541.2,3871993,0,0,8822738,,,,0,0,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:27:54.424060+08:00,ef1fc3a6,toolagent,unlimited,1000000000,100.0,10.41,3.58,/home/hungwei,432.9,cpu_lru,60911564.84,3871993,555118,0,8267620,,,,0,8819730,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:27:54.424095+08:00,ef1fc3a6,toolagent,unlimited,1000000000,100.0,10.41,3.58,/home/hungwei,432.9,cpu_arc,60650773.58,4464000,3559,0,8227172,,,,0,8227723,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:27:54.424124+08:00,ef1fc3a6,toolagent,unlimited,1000000000,100.0,10.41,3.58,/home/hungwei,432.9,tier_fs,55240758.43,3871993,555118,2810438,5457182,,,,8252324,8819730,3537.0,4666.3,2512.0,tier_fs,,,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:27:54.424151+08:00,ef1fc3a6,toolagent,unlimited,1000000000,100.0,10.41,3.58,/home/hungwei,432.9,oracle,51145681.0,4651616,615659,1970274,5457182,5454174,615659,1970274,1970274,1367975,3537.0,1114.1,2512.0,tier_fs,7.413,MARGINAL,llama-bf16,48128,24.0,5457182,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:29:53.689125+08:00,ef1fc3a6,conversation,0.0,0,0.0,10.82,3.58,/home/hungwei,432.9,full_gpu,65925766.94,371289,0,0,8683944,,,,0,0,3537.0,0.0,2512.0,cpu_lru,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:29:53.689251+08:00,ef1fc3a6,conversation,0.0,0,0.0,10.82,3.58,/home/hungwei,432.9,cpu_lru,65843971.52,371289,18042,0,8665902,,,,0,8680936,3537.0,0.0,2512.0,cpu_lru,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:29:53.689279+08:00,ef1fc3a6,conversation,0.0,0,0.0,10.82,3.58,/home/hungwei,432.9,cpu_arc,65843971.52,384985,4346,0,8665902,,,,0,8667240,3537.0,0.0,2512.0,cpu_lru,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:29:53.689303+08:00,ef1fc3a6,conversation,0.0,0,0.0,10.82,3.58,/home/hungwei,432.9,oracle,60465326.29,636228,598466,0,7820539,5671017,598466,0,0,1373985,3537.0,0.0,2512.0,cpu_lru,8.169,MARGINAL,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:32:08.510334+08:00,ef1fc3a6,conversation,32.0,16384,0.29,10.82,3.58,/home/hungwei,432.9,full_gpu,65925766.94,371289,0,0,8683944,,,,0,0,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:32:08.510452+08:00,ef1fc3a6,conversation,32.0,16384,0.29,10.82,3.58,/home/hungwei,432.9,cpu_lru,65843971.52,371289,18042,0,8665902,,,,0,8680936,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:32:08.510480+08:00,ef1fc3a6,conversation,32.0,16384,0.29,10.82,3.58,/home/hungwei,432.9,cpu_arc,65843971.52,384985,4346,0,8665902,,,,0,8667240,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:32:08.510505+08:00,ef1fc3a6,conversation,32.0,16384,0.29,10.82,3.58,/home/hungwei,432.9,tier_fs,65766664.6,371289,18042,21129,8644773,,,,8650606,8680936,3537.0,4891.5,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
