run_id,ts,model_key,tier,gpu,ctx,n_prefixes,round,prefix_idx,ttft_ms,total_ms,gpu_kv_cache_tokens,fs_tier_queries,cpu_tier_queries,o_direct,fs_root,desc,host_contention,foreign_gpu_count,foreign_max_util,log
20260830-222852-m2-retrieval,2026-08-30T22:33:15.473375+08:00,llama,ssd,0,16384,4,warm,0,7461.993,7588.804,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,CPU 階刻意縮小 → 強迫 cascade 到磁碟，量的才是真的磁碟階,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-222852-m2-retrieval/ssd/server.log
20260830-222852-m2-retrieval,2026-08-30T22:33:21.800168+08:00,llama,ssd,0,16384,4,warm,1,5928.019,6052.882,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,CPU 階刻意縮小 → 強迫 cascade 到磁碟，量的才是真的磁碟階,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-222852-m2-retrieval/ssd/server.log
20260830-222852-m2-retrieval,2026-08-30T22:33:27.712566+08:00,llama,ssd,0,16384,4,warm,2,5455.528,5584.612,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,CPU 階刻意縮小 → 強迫 cascade 到磁碟，量的才是真的磁碟階,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-222852-m2-retrieval/ssd/server.log
20260830-222852-m2-retrieval,2026-08-30T22:33:33.818892+08:00,llama,ssd,0,16384,4,warm,3,5678.611,5809.852,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,CPU 階刻意縮小 → 強迫 cascade 到磁碟，量的才是真的磁碟階,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-222852-m2-retrieval/ssd/server.log
20260830-222852-m2-retrieval,2026-08-30T22:34:36.681119+08:00,llama,drop,0,16384,4,cold,0,5062.462,5194.321,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-222852-m2-retrieval/drop/server.log
20260830-222852-m2-retrieval,2026-08-30T22:34:42.341081+08:00,llama,drop,0,16384,4,cold,1,5260.435,5390.005,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-222852-m2-retrieval/drop/server.log
20260830-222852-m2-retrieval,2026-08-30T22:34:48.133371+08:00,llama,drop,0,16384,4,cold,2,5366.437,5498.951,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-222852-m2-retrieval/drop/server.log
20260830-222852-m2-retrieval,2026-08-30T22:34:53.929371+08:00,llama,drop,0,16384,4,cold,3,5361.589,5493.634,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-222852-m2-retrieval/drop/server.log
20260830-222852-m2-retrieval,2026-08-30T22:34:59.785263+08:00,llama,drop,0,16384,4,warm,0,5456.914,5592.771,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-222852-m2-retrieval/drop/server.log
20260830-222852-m2-retrieval,2026-08-30T22:35:05.615554+08:00,llama,drop,0,16384,4,warm,1,5426.084,5557.146,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-222852-m2-retrieval/drop/server.log
20260830-222852-m2-retrieval,2026-08-30T22:35:11.525621+08:00,llama,drop,0,16384,4,warm,2,5478.032,5612.169,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-222852-m2-retrieval/drop/server.log
20260830-222852-m2-retrieval,2026-08-30T22:35:17.457848+08:00,llama,drop,0,16384,4,warm,3,5517.998,5652.338,48128,,,True,/ssd7/hungwei/paper-hkv/kv_fs_tier,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-222852-m2-retrieval/drop/server.log
