run_id,ts,model_key,tier,gpu,ctx,n_prefixes,round,prefix_idx,ttft_ms,total_ms,gpu_kv_cache_tokens,fs_tier_queries,cpu_tier_queries,o_direct,fs_root,desc,host_contention,foreign_gpu_count,foreign_max_util,log
20260830-223536-m2-retrieval,2026-08-30T22:40:08.986109+08:00,llama,ssd,0,16384,4,warm,1,6750.08,6870.547,48128,,,True,/home/hungwei/kv_fs_tier_nvme,CPU 階刻意縮小 → 強迫 cascade 到磁碟，量的才是真的磁碟階,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-223536-m2-retrieval/ssd/server.log
20260830-223536-m2-retrieval,2026-08-30T22:40:15.896822+08:00,llama,ssd,0,16384,4,warm,2,6516.166,6639.37,48128,,,True,/home/hungwei/kv_fs_tier_nvme,CPU 階刻意縮小 → 強迫 cascade 到磁碟，量的才是真的磁碟階,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-223536-m2-retrieval/ssd/server.log
20260830-223536-m2-retrieval,2026-08-30T22:40:22.839879+08:00,llama,ssd,0,16384,4,warm,3,6529.474,6646.072,48128,,,True,/home/hungwei/kv_fs_tier_nvme,CPU 階刻意縮小 → 強迫 cascade 到磁碟，量的才是真的磁碟階,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-223536-m2-retrieval/ssd/server.log
20260830-223536-m2-retrieval,2026-08-30T22:41:29.965231+08:00,llama,drop,0,16384,4,cold,0,5070.611,5197.666,48128,,,True,/home/hungwei/kv_fs_tier_nvme,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-223536-m2-retrieval/drop/server.log
20260830-223536-m2-retrieval,2026-08-30T22:41:35.754798+08:00,llama,drop,0,16384,4,cold,1,5378.703,5503.794,48128,,,True,/home/hungwei/kv_fs_tier_nvme,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-223536-m2-retrieval/drop/server.log
20260830-223536-m2-retrieval,2026-08-30T22:41:41.524159+08:00,llama,drop,0,16384,4,cold,2,5364.107,5491.324,48128,,,True,/home/hungwei/kv_fs_tier_nvme,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-223536-m2-retrieval/drop/server.log
20260830-223536-m2-retrieval,2026-08-30T22:41:47.360859+08:00,llama,drop,0,16384,4,cold,3,5416.71,5542.932,48128,,,True,/home/hungwei/kv_fs_tier_nvme,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-223536-m2-retrieval/drop/server.log
20260830-223536-m2-retrieval,2026-08-30T22:41:53.189701+08:00,llama,drop,0,16384,4,warm,0,5410.81,5547.074,48128,,,True,/home/hungwei/kv_fs_tier_nvme,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-223536-m2-retrieval/drop/server.log
20260830-223536-m2-retrieval,2026-08-30T22:41:59.066615+08:00,llama,drop,0,16384,4,warm,1,5461.065,5587.913,48128,,,True,/home/hungwei/kv_fs_tier_nvme,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-223536-m2-retrieval/drop/server.log
20260830-223536-m2-retrieval,2026-08-30T22:42:05.010311+08:00,llama,drop,0,16384,4,warm,2,5470.215,5598.942,48128,,,True,/home/hungwei/kv_fs_tier_nvme,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-223536-m2-retrieval/drop/server.log
20260830-223536-m2-retrieval,2026-08-30T22:42:10.929943+08:00,llama,drop,0,16384,4,warm,3,5487.776,5617.191,48128,,,True,/home/hungwei/kv_fs_tier_nvme,沒有第二階，warm 只能整段重算,HEAVY,6,100,/ssd7/hungwei/paper-hkv/runs/20260830-223536-m2-retrieval/drop/server.log
