run_id,ts,trace,model_profile,device,window_accesses,k_deltas,n_train,n_calib,n_test,embargo_dropped,num_leaves,test_positive_rate,features_run,loss,feature,gain
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,edc_2,1532369.44
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,edc_3,49032.8
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,edc_4,38072.1
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,edc_5,20405535.6
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,edc_6,6966636.31
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,edc_7,73004.6
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,edc_8,31136.6
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,edc_9,46920.22
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,pos_tokens,2473.16
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,pos_frac,10344.7
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,req_len_tokens,333262.91
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,last_pos_tokens,3162.83
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,pos_delta_tokens,0.0
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,req_gap,47882.0
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,n_acc,713762.13
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_age_since_first,565753.72
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_1,1025255.12
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_2,726717.62
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_3,765386.89
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_4,848410.94
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_5,1598920.59
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_6,1558407.86
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_7,5680302.98
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_8,1114054.78
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_9,981409.2
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_10,1075670.22
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_11,1586835.18
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_12,990990.91
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_13,963383.72
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_14,1187304.78
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_15,1007220.85
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,log_delta_16,1154425.72
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,edc_0,709165.72
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,edc_1,466810.73
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,edc_2,18724341.82
