run_id,ts,trace,model_profile,device,window_accesses,k_deltas,n_train,n_calib,n_test,embargo_dropped,num_leaves,test_positive_rate,features_run,workload,label_mode,sample_rate,data_seed,feature_groups,test_trace,loss,bin_lo,bin_hi,n,mean_p_hat,empirical_rate,gap
20260905-213131-m5p-train-conversation-qwen-awq,2026-09-05T21:31:32.309040+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-142918-m5p-feat-conversation-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,conversation,cost_l2,0.9333,1.0,30323,1.0,0.9921,-0.0079
20260905-213151-m5p-train-lc128kz-qwen-awq,2026-09-05T21:31:51.719872+08:00,lc128kz,qwen-awq,nvme,102702,16,491997,86824,269970,51107,63,0.7076,20260905-143044-m5p-feat-lc128kz-qwen-awq,longctx-zipf,censored,1.0,1234,history+deltas+edc+static,lc128kz,sym_l2,0.8667,0.9333,269970,0.8963,0.7076,-0.1887
20260905-213151-m5p-train-lc128kz-qwen-awq,2026-09-05T21:31:51.719872+08:00,lc128kz,qwen-awq,nvme,102702,16,491997,86824,269970,51107,63,0.7076,20260905-143044-m5p-feat-lc128kz-qwen-awq,longctx-zipf,censored,1.0,1234,history+deltas+edc+static,lc128kz,cost_l2,0.0,0.0667,4928,0.0,0.0,0.0
20260905-213151-m5p-train-lc128kz-qwen-awq,2026-09-05T21:31:51.719872+08:00,lc128kz,qwen-awq,nvme,102702,16,491997,86824,269970,51107,63,0.7076,20260905-143044-m5p-feat-lc128kz-qwen-awq,longctx-zipf,censored,1.0,1234,history+deltas+edc+static,lc128kz,cost_l2,0.8667,0.9333,234553,0.8942,0.6844,-0.2098
20260905-213151-m5p-train-lc128kz-qwen-awq,2026-09-05T21:31:51.719872+08:00,lc128kz,qwen-awq,nvme,102702,16,491997,86824,269970,51107,63,0.7076,20260905-143044-m5p-feat-lc128kz-qwen-awq,longctx-zipf,censored,1.0,1234,history+deltas+edc+static,lc128kz,cost_l2,0.9333,1.0,30489,1.0,1.0,0.0
20260905-213155-m5p-train-lc128kz-qwen-awq,2026-09-05T21:31:55.944609+08:00,lc128kz,qwen-awq,nvme,17117,16,571813,100909,295645,17116,63,0.3165,20260905-143031-m5p-feat-lc128kz-qwen-awq,longctx-zipf,censored,1.0,1234,history+deltas+edc+static,lc128kz,sym_l2,0.0,0.0667,66269,0.0,0.1759,0.1759
20260905-213155-m5p-train-lc128kz-qwen-awq,2026-09-05T21:31:55.944609+08:00,lc128kz,qwen-awq,nvme,17117,16,571813,100909,295645,17116,63,0.3165,20260905-143031-m5p-feat-lc128kz-qwen-awq,longctx-zipf,censored,1.0,1234,history+deltas+edc+static,lc128kz,sym_l2,0.2,0.2667,81920,0.2209,0.2,-0.0209
20260905-213155-m5p-train-lc128kz-qwen-awq,2026-09-05T21:31:55.944609+08:00,lc128kz,qwen-awq,nvme,17117,16,571813,100909,295645,17116,63,0.3165,20260905-143031-m5p-feat-lc128kz-qwen-awq,longctx-zipf,censored,1.0,1234,history+deltas+edc+static,lc128kz,sym_l2,0.4,0.4667,147456,0.458,0.4444,-0.0136
20260905-213155-m5p-train-lc128kz-qwen-awq,2026-09-05T21:31:55.944609+08:00,lc128kz,qwen-awq,nvme,17117,16,571813,100909,295645,17116,63,0.3165,20260905-143031-m5p-feat-lc128kz-qwen-awq,longctx-zipf,censored,1.0,1234,history+deltas+edc+static,lc128kz,cost_l2,0.0,0.0667,66269,0.0,0.1759,0.1759
20260905-213155-m5p-train-lc128kz-qwen-awq,2026-09-05T21:31:55.944609+08:00,lc128kz,qwen-awq,nvme,17117,16,571813,100909,295645,17116,63,0.3165,20260905-143031-m5p-feat-lc128kz-qwen-awq,longctx-zipf,censored,1.0,1234,history+deltas+edc+static,lc128kz,cost_l2,0.2,0.2667,81920,0.2209,0.2,-0.0209
