run_id,ts,baseline,model_key,model,gpu,ctx,actual_prompt_tokens,round,prefix_idx,ttft_ms,tpot_ms,total_ms,gen_tokens,gpu_kv_cache_tokens,n_prefixes,caveat,concurrency_mode,quality_score,quality_metric,contaminated,guard_verdict,log,mode_source,host_contention,foreign_gpu_count,foreign_max_util
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:43:34.140746+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,warm,0,269.784,18.884,515.28,14,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:43:34.955226+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,warm,1,257.4,13.825,520.066,20,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:43:35.743560+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,warm,2,238.159,14.171,493.231,19,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:43:36.511235+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,warm,3,245.45,17.495,490.383,15,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:44:18.225233+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,cold,0,38732.488,23.472,39014.148,13,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:44:57.851336+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,cold,1,39005.919,24.775,39327.996,14,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:45:37.324485+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,cold,2,38894.369,22.44,39186.091,14,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:46:16.774263+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,cold,3,38847.293,23.998,39159.265,14,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:46:35.323208+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,warm,0,17978.44,23.288,18257.896,13,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:46:53.769182+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,warm,1,17836.914,25.156,18163.937,14,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:47:12.248836+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,warm,2,17904.25,23.674,18212.012,14,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:47:30.815337+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,warm,3,17973.09,23.493,18278.497,14,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:49:30.753500+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,cold,0,114652.188,29.722,114949.409,11,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:51:26.467841+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,cold,1,115086.954,30.442,115421.813,12,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:53:22.583808+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,cold,2,115516.203,32.585,115842.057,11,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:55:18.432225+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,cold,3,115221.029,30.583,115557.445,12,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:57:14.196993+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,warm,0,115113.182,30.843,115452.456,12,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-30T23:59:09.758590+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,warm,1,114894.013,32.747,115254.226,12,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-31T00:01:04.953508+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,warm,2,114534.852,31.002,114906.872,13,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260830-234043-m3-llama-awq-full_gpu,2026-08-31T00:03:00.461412+08:00,full_gpu,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,warm,3,114865.67,31.498,115212.144,12,240656,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-234043-m3-llama-awq-full_gpu/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:25:57.520295+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,cold,0,5387.207,17.266,5628.926,15,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:26:03.858160+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,cold,1,5771.193,17.431,6015.234,15,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:26:10.235157+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,cold,2,5781.401,16.726,6032.286,16,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:26:16.524488+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,cold,3,5771.944,17.6,6018.34,15,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:26:17.174456+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,warm,0,137.636,16.905,374.303,15,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:26:17.863184+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,warm,1,150.899,16.732,385.153,15,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,94
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:26:18.507440+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,warm,2,131.717,15.736,367.754,16,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
