run_id,ts,baseline,model_key,model,gpu,ctx,actual_prompt_tokens,round,prefix_idx,ttft_ms,tpot_ms,total_ms,gen_tokens,gpu_kv_cache_tokens,n_prefixes,quality_score,quality_metric,contaminated,guard_verdict,log
20260830-181544-m3-llama-lmcache,2026-08-30T18:21:10.600619+08:00,lmcache,llama,NousResearch/Meta-Llama-3.1-8B-Instruct,4,32768,32768,warm,0,4380.575,49.332,5120.552,16,48128,4,no compiled c_ops/cuda_ops; transfer path on torch baseline,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-181544-m3-llama-lmcache/server.log
20260830-181544-m3-llama-lmcache,2026-08-30T18:21:14.965922+08:00,lmcache,llama,NousResearch/Meta-Llama-3.1-8B-Instruct,4,32768,32768,warm,1,3611.952,49.969,4361.487,16,48128,4,no compiled c_ops/cuda_ops; transfer path on torch baseline,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-181544-m3-llama-lmcache/server.log
20260830-181544-m3-llama-lmcache,2026-08-30T18:21:19.365921+08:00,lmcache,llama,NousResearch/Meta-Llama-3.1-8B-Instruct,4,32768,32768,warm,2,3647.3,49.891,4395.658,16,48128,4,no compiled c_ops/cuda_ops; transfer path on torch baseline,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-181544-m3-llama-lmcache/server.log
20260830-181544-m3-llama-lmcache,2026-08-30T18:21:23.795265+08:00,lmcache,llama,NousResearch/Meta-Llama-3.1-8B-Instruct,4,32768,32768,warm,3,3678.429,49.841,4426.042,16,48128,4,no compiled c_ops/cuda_ops; transfer path on torch baseline,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-181544-m3-llama-lmcache/server.log
20260830-181826-m3-llama-cpu_lru,2026-08-30T18:21:23.833410+08:00,cpu_lru,llama,NousResearch/Meta-Llama-3.1-8B-Instruct,1,4096,4096,cold,0,1082.826,40.576,1691.47,16,48128,4,,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-181826-m3-llama-cpu_lru/server.log
20260830-181826-m3-llama-cpu_lru,2026-08-30T18:21:25.490546+08:00,cpu_lru,llama,NousResearch/Meta-Llama-3.1-8B-Instruct,1,4096,4096,cold,1,1048.667,40.508,1656.295,16,48128,4,,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-181826-m3-llama-cpu_lru/server.log
20260830-181826-m3-llama-cpu_lru,2026-08-30T18:21:27.142804+08:00,cpu_lru,llama,NousResearch/Meta-Llama-3.1-8B-Instruct,1,4096,4096,cold,2,1044.459,40.469,1651.499,16,48128,4,,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-181826-m3-llama-cpu_lru/server.log
20260830-181826-m3-llama-cpu_lru,2026-08-30T18:21:28.798941+08:00,cpu_lru,llama,NousResearch/Meta-Llama-3.1-8B-Instruct,1,4096,4096,cold,3,1048.115,40.487,1655.421,16,48128,4,,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-181826-m3-llama-cpu_lru/server.log
20260830-181826-m3-llama-cpu_lru,2026-08-30T18:21:29.495854+08:00,cpu_lru,llama,NousResearch/Meta-Llama-3.1-8B-Instruct,1,4096,4096,warm,0,81.41,40.985,696.188,16,48128,4,,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-181826-m3-llama-cpu_lru/server.log
20260830-181826-m3-llama-cpu_lru,2026-08-30T18:21:30.189064+08:00,cpu_lru,llama,NousResearch/Meta-Llama-3.1-8B-Instruct,1,4096,4096,warm,1,81.912,40.703,692.462,16,48128,4,,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-181826-m3-llama-cpu_lru/server.log
20260830-181826-m3-llama-cpu_lru,2026-08-30T18:21:30.883731+08:00,cpu_lru,llama,NousResearch/Meta-Llama-3.1-8B-Instruct,1,4096,4096,warm,2,79.884,40.939,693.968,16,48128,4,,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-181826-m3-llama-cpu_lru/server.log
20260830-181826-m3-llama-cpu_lru,2026-08-30T18:21:31.575713+08:00,cpu_lru,llama,NousResearch/Meta-Llama-3.1-8B-Instruct,1,4096,4096,warm,3,80.47,40.72,691.273,16,48128,4,,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260830-181826-m3-llama-cpu_lru/server.log
