ts,sim_version,trace,model_profile,device,gpu_budget_tokens,gpu_tokens_override,profile_gpu_tokens,cpu_budget_gib,lookup,prefetch,oracle_dest,device_write_mibps_sustained,fs_root,cost_model,axis,synthetic,request_tokens,requeries_per_doc,reuse_pct,tail_frac,n_docs,requests,unique_blocks,pressure_x,single_request_fits,ssd_gib,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,ssd_writes,cpu_writes,decode_ms,prefill_ms,evict_free,evict_to_cpu,evict_to_ssd,evict_free_pct,best_baseline,oracle_headroom_pct,verdict
2026-09-01T12:46:31.196584+08:00,0e7b989d,surface:L65536:rq5,qwen-awq,nvme,283104,1,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,65536,5.0,80.9,0.02,24,120,95736,5.41,1,512.0,full_gpu,3146460.21,172032,0,0,329208,0,0,0.0,3146460.21,,,,,tier_fs,,
2026-09-01T12:46:31.196699+08:00,0e7b989d,surface:L65536:rq5,qwen-awq,nvme,283104,1,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,65536,5.0,80.9,0.02,24,120,95736,5.41,1,512.0,cpu_lru,1570813.28,172032,167936,0,161272,0,311514,0.0,1570813.28,,,,,tier_fs,,
2026-09-01T12:46:31.196730+08:00,0e7b989d,surface:L65536:rq5,qwen-awq,nvme,283104,1,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,65536,5.0,80.9,0.02,24,120,95736,5.41,1,512.0,cpu_arc,1609243.69,172283,163589,0,165368,0,311213,0.0,1609243.69,,,,,tier_fs,,
2026-09-01T12:46:31.196754+08:00,0e7b989d,surface:L65536:rq5,qwen-awq,nvme,283104,1,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,65536,5.0,80.9,0.02,24,120,95736,5.41,1,512.0,tier_fs,1569040.86,172032,167936,65536,95736,115492,311514,0.0,1569040.86,,,,,tier_fs,,
2026-09-01T12:46:31.196774+08:00,0e7b989d,surface:L65536:rq5,qwen-awq,nvme,283104,1,273872,24.0,prefix,1,best,2512.0,/home/hungwei,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json,surface,longctx,65536,5.0,80.9,0.02,24,120,95736,5.41,1,512.0,oracle,1070890.23,301296,92644,11564,95736,11564,96016,0.0,1070890.23,78042,92644,11564,42.044,tier_fs,31.749,GO
