run_id,ts,baseline,model_key,model,gpu,ctx,actual_prompt_tokens,round,prefix_idx,ttft_ms,tpot_ms,total_ms,gen_tokens,gpu_kv_cache_tokens,n_prefixes,caveat,concurrency_mode,quality_score,quality_metric,contaminated,guard_verdict,log,mode_source,host_contention,foreign_gpu_count,foreign_max_util
20260901-060656-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T06:29:27.136541+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,warm,0,2648.008,74.564,21363.466,252,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-060656-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,99
20260901-060656-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T06:50:43.766802+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,524288,524288,cold,0,,,1269913.827,0,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-060656-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
20260901-065648-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T07:19:05.906127+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,cold,0,1251779.586,75.053,1270693.015,253,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-065648-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
20260901-065648-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T07:19:27.647274+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,warm,0,2577.104,74.858,21441.424,253,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-065648-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
20260901-065648-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T07:41:20.428078+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,524288,524288,cold,0,,,1306188.342,0,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-065648-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
20260901-074723-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T08:10:00.911435+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,cold,0,1271123.718,76.083,1290296.718,253,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-074723-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
20260901-074723-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T08:10:22.812617+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,warm,0,2489.053,75.847,21602.61,253,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-074723-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
20260901-074723-m3-qwen-awq-int8-512k-full_gpu,2026-09-01T08:32:32.962902+08:00,full_gpu,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,524288,524288,cold,0,,,1323573.995,0,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-074723-m3-qwen-awq-int8-512k-full_gpu/server.log,recorded,HEAVY,6,100
20260901-083836-m3-qwen-awq-int8-512k-tier_fs,2026-09-01T09:01:25.037257+08:00,tier_fs,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,cold,0,1268702.956,75.709,1287781.567,253,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-083836-m3-qwen-awq-int8-512k-tier_fs/server.log,recorded,HEAVY,6,94
20260901-083836-m3-qwen-awq-int8-512k-tier_fs,2026-09-01T09:01:46.176212+08:00,tier_fs,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,warm,0,1900.025,75.162,20840.835,253,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-083836-m3-qwen-awq-int8-512k-tier_fs/server.log,recorded,HEAVY,6,100
20260901-083836-m3-qwen-awq-int8-512k-tier_fs,2026-09-01T09:23:54.607228+08:00,tier_fs,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,524288,524288,cold,0,,,1321671.032,0,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-083836-m3-qwen-awq-int8-512k-tier_fs/server.log,recorded,HEAVY,6,100
20260901-093001-m3-qwen-awq-int8-512k-tier_fs,2026-09-01T09:52:42.005084+08:00,tier_fs,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,cold,0,1261245.897,75.225,1280202.614,253,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-093001-m3-qwen-awq-int8-512k-tier_fs/server.log,recorded,HEAVY,6,100
20260901-093001-m3-qwen-awq-int8-512k-tier_fs,2026-09-01T09:53:03.084699+08:00,tier_fs,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,warm,0,1826.333,75.486,20773.198,252,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-093001-m3-qwen-awq-int8-512k-tier_fs/server.log,recorded,HEAVY,6,100
20260901-093001-m3-qwen-awq-int8-512k-tier_fs,2026-09-01T10:15:14.007665+08:00,tier_fs,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,524288,524288,cold,0,,,1324138.499,0,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-093001-m3-qwen-awq-int8-512k-tier_fs/server.log,recorded,HEAVY,6,100
20260901-111237-m3-qwen-awq-int8-512k-tier_fs,2026-09-01T11:35:39.989611+08:00,tier_fs,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,cold,0,1280794.548,76.089,1299892.765,252,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-111237-m3-qwen-awq-int8-512k-tier_fs/server.log,recorded,HEAVY,6,100
20260901-111237-m3-qwen-awq-int8-512k-tier_fs,2026-09-01T11:36:01.192836+08:00,tier_fs,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,258048,258048,warm,0,1828.614,75.953,20892.734,252,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-111237-m3-qwen-awq-int8-512k-tier_fs/server.log,recorded,HEAVY,6,80
20260901-111237-m3-qwen-awq-int8-512k-tier_fs,2026-09-01T11:58:22.142471+08:00,tier_fs,qwen-awq-int8-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,0,524288,524288,cold,0,,,1334214.068,0,559584,1,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260901-111237-m3-qwen-awq-int8-512k-tier_fs/server.log,recorded,HEAVY,6,100
