ts,alpha,workload,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,model_profile,gpu_budget_tokens,cpu_budget_gib,docs,doc_tokens,requests,seed,lookup,prefetch,unique_blocks,realized_pressure_x,best_baseline,oracle_headroom_pct,verdict,method,cost_model
2026-08-31T15:52:31.672599+08:00,,pressure:2x,full_gpu,154451.78,67584,0,0,34816,llama-bf16,48128,24.0,64,4096,400,1234,prefix,0,6144,2.043,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:52:31.676862+08:00,,pressure:2x,cpu_lru,44125.61,67584,28672,0,6144,llama-bf16,48128,24.0,64,4096,400,1234,prefix,0,6144,2.043,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:52:31.681005+08:00,,pressure:2x,cpu_arc,42877.7,69705,26551,0,6144,llama-bf16,48128,24.0,64,4096,400,1234,prefix,0,6144,2.043,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:52:31.685106+08:00,,pressure:2x,tier_fs,44125.61,67584,28672,0,6144,llama-bf16,48128,24.0,64,4096,400,1234,prefix,0,6144,2.043,cpu_arc,,,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:52:31.689211+08:00,,pressure:2x,oracle,34410.63,84096,12160,0,6144,llama-bf16,48128,24.0,64,4096,400,1234,prefix,0,6144,2.043,cpu_arc,19.75,GO,trace-driven simulation; Belady/MIN + cost-aware greedy,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
